"Trial","Subject_Time","Cue_Pos","Target_Pos"
"Invalid-300","0.23327","4,4","8,12"
"Valid-300","0.2715","8,12","8,12"
"Valid-100","0.34085","4,8","4,8"
"Invalid-300","0.26314","8,8","4,4"
"Invalid-100","0.3939","0,8","4,12"
"Invalid-300","0.20117","4,4","4,4"
"Invalid-100","0.31636","4,8","0,4"
"Valid-100","0.39392","0,0","0,0"
"Valid-100","0.3767","4,4","4,4"
"Invalid-100","0.4149","4,12","0,8"
"Invalid-300","0.2758","4,0","0,0"
"Valid-100","0.40718","12,12","12,12"
"Valid-100","0.3523","4,8","4,8"
"Valid-100","0.35124","0,0","0,0"
"Valid-100","0.38498","0,0","0,0"
"Valid-100","0.28146","4,12","4,12"
"Valid-300","0.15849","0,4","0,4"
"Invalid-300","0.25172","12,4","0,0"
"Invalid-100","0.34693","4,0","8,12"
"Valid-100","0.35499","4,12","4,12"
"Valid-100","0.33264","4,4","4,4"
"Invalid-300","0.062488","0,12","4,4"
"Invalid-300","0.22073","12,0","0,12"
"Invalid-300","0.31703","8,4","8,4"
"Valid-100","0.30133","8,12","8,12"
"Invalid-100","0.39025","12,12","4,8"
"Invalid-300","0.30899","12,4","4,4"
"Valid-300","0.36377","4,12","4,12"
"Invalid-300","0.24015","12,4","8,8"
"Invalid-300","0.28831","4,8","4,4"
"Valid-100","0.47963","12,4","12,4"
"Invalid-300","0.28848","8,12","0,4"
"Valid-100","0.36517","4,8","4,8"
"Invalid-100","0.33209","4,12","8,12"
"Valid-300","0.26981","0,12","0,12"
"Invalid-100","0.3563","4,12","0,0"
"Invalid-300","0.27626","0,4","12,0"
"Valid-300","0.19593","12,8","12,8"
"Invalid-100","0.43666","0,4","0,0"
"Invalid-100","0.50288","0,12","8,0"
"Valid-300","0.27234","8,8","8,8"
"Valid-100","0.32562","4,4","4,4"
"Invalid-300","0.20602","4,0","12,12"
"Valid-300","0.14099","8,8","8,8"
"Valid-100","0.58024","8,4","8,4"
"Invalid-100","0.3539","4,0","0,8"
"Valid-100","0.37811","0,4","0,4"
"Invalid-100","0.37119","8,4","8,0"
"Valid-100","0.40133","0,0","0,0"
"Invalid-100","0.38528","8,12","12,0"
"Invalid-100","0.37444","12,4","0,12"
"Invalid-300","0.2841","8,4","12,0"
"Invalid-100","0.46487","0,12","8,8"
"Valid-300","0.22706","8,0","8,0"
"Invalid-300","0.31735","8,4","4,8"
"Valid-100","0.51903","8,8","8,8"
"Invalid-300","0.31569","0,12","4,12"
"Invalid-300","0.37457","8,8","0,4"
"Invalid-100","0.5192","0,0","12,0"
"Invalid-100","0.37577","4,8","0,4"
"Invalid-100","0.36037","4,4","0,4"
"Valid-100","0.37611","4,4","4,4"
"Valid-100","0.44923","8,8","8,8"
"Valid-300","0.33296","8,8","8,8"
"Invalid-100","0.39337","0,0","8,8"
"Invalid-100","0.3639","0,12","8,4"
"Invalid-300","0.28733","0,0","12,0"
"Valid-300","0.25257","12,8","12,8"
"Invalid-300","0.4437","4,12","0,0"
"Valid-300","0.26629","12,0","12,0"
"Valid-100","0.35742","8,8","8,8"
"Invalid-100","0.37783","0,8","12,8"
"Valid-300","0.37768","12,4","12,4"
"Invalid-100","0.42868","8,0","8,8"
"Invalid-100","0.5142","12,8","12,0"
"Invalid-100","0.53119","0,8","8,12"
"Valid-300","0.40037","0,12","0,12"
"Valid-300","0.38069","8,12","8,12"
"Invalid-300","0.33771","12,8","12,12"
"Valid-300","0.34965","4,12","4,12"
"Valid-100","0.37544","12,12","12,12"
"Invalid-100","0.44231","0,8","8,12"
"Valid-300","0.37408","12,0","12,0"
"Invalid-100","0.44595","4,12","12,8"
"Valid-300","0.32317","12,4","12,4"
"Valid-100","0.34073","0,0","0,0"
"Valid-300","0.30792","12,8","12,8"
"Valid-100","0.47773","12,0","12,0"
"Invalid-100","0.43031","8,8","12,8"
"Invalid-100","0.42236","0,0","4,4"
"Valid-300","0.204","12,8","12,8"
"Invalid-100","0.40514","0,0","0,4"
"Valid-300","0.2729","8,4","8,4"
"Valid-100","0.34217","0,4","0,4"
"Invalid-300","0.23831","4,0","8,12"
"Valid-100","0.43347","0,12","0,12"
"Valid-300","0.25624","12,12","12,12"
"Invalid-300","0.23418","4,8","4,8"
"Invalid-300","0.24206","8,12","12,4"
"Valid-300","0.39485","4,8","4,8"
"Valid-100","0.31134","12,0","12,0"
"Invalid-100","0.33913","8,8","4,12"
"Invalid-300","0.2808","4,12","12,0"
"Invalid-300","0.31131","0,4","0,0"
"Invalid-300","0.28051","12,0","4,4"
"Invalid-100","0.30775","8,0","12,12"
"Valid-100","0.36732","4,8","4,8"
"Invalid-300","0.2405","8,8","0,0"
